yield,current,total,roa,class
4.84,236.64 ,8.55,6.81,1
0,60.51 ,8.57,7.75,0
3.98,172.42 ,8.58,2.95,1
0.13,203.13 ,8.58,0.48,0
1.33,189.99 ,8.61,8.36,0
1.91,127.93 ,8.64,8.51,1
0.75,163.67 ,8.64,1.2,0
4.82,517.45 ,8.67,9.96,1
3.75,147.07 ,8.68,0.17,1
0,104.79 ,8.8,4.74,0
2.7,195.43 ,8.81,9.46,1
4.22,148.83 ,8.83,3.23,1
2.13,80.13 ,8.84,6.16,1
1.94,199.78 ,8.9,4.39,1
1.69,335.36 ,8.91,7.55,0
3.66,304.89 ,8.92,6.98,1
0.89,171.32 ,9,3.54,0
0,15.63 ,9.07,-0.06,0
3.13,436.81 ,9.11,6.44,1
3.24,210.29 ,9.14,6.96,1
5.6,129.72 ,9.18,2.31,1
5.16,375.19 ,9.19,6.6,1
3.29,84.17 ,9.3,3.52,1
1.65,326.27 ,9.33,0.84,0
1.5,215.73 ,9.34,6.53,0
2.89,184.02 ,9.35,5.1,1
1.81,528.49 ,9.36,5.78,1
